,County,State,Homeless Pop,Population,Poverty Rate,Price_2018,Temp,Homeless Rate
0,autauga county,alabama,0.0,55036.0,13.596554982193473,144599.99997129934,77.0,0.0
1,cherokee county,alabama,0.0,25855.0,15.873138657899826,102899.9999790503,28.4,0.0
2,blount county,alabama,0.0,57667.0,15.466384587372326,132499.9999409747,66.99,0.0
3,chilton county,alabama,0.0,43805.0,19.15763040748773,114299.99998984646,71.6,0.0
4,coffee county,alabama,64.0,51073.0,15.902727468525445,109500.00004506568,41.0,0.0012531082959685157
5,colbert county,alabama,0.0,54435.0,16.636355286121063,95400.00003044891,35.6,0.0
6,elmore county,alabama,0.0,80989.0,12.716541752583684,154800.00005680736,77.0,0.0
7,etowah county,alabama,52.0,103132.0,17.61431951285731,91299.99999823062,57.0,0.000504208199201024
8,greene county,alabama,0.0,8533.0,38.59135122465721,78599.999995808,37.99,0.0
9,lee county,alabama,103.0,156597.0,21.15749343857162,178599.99997885377,42.01,0.0006577392925790405
10,houston county,alabama,103.0,104108.0,18.279094786183578,128400.00004317875,30.2,0.000989357205978407
11,jefferson county,alabama,1958.0,659460.0,17.191035089315502,109000.00001171076,45.0,0.0029690959269705517
12,lauderdale county,alabama,79.0,92590.0,15.87752457068798,111399.99995184768,55.99,0.0008532238902689275
13,limestone county,alabama,0.0,91695.0,14.327935001908502,142700.00001326174,57.2,0.0
14,madison county,alabama,957.0,353213.0,13.285184860126892,153299.99995479616,79.0,0.0027094133001899705
15,mobile county,alabama,921.0,414328.0,18.88745148771022,111300.00000990773,72.0,0.002222876561564751
16,montgomery county,alabama,406.0,227120.0,20.19328989080662,82299.99998677835,71.6,0.001787601268052131
17,pike county,alabama,0.0,33287.0,24.70634181512302,123700.00002906611,75.2,0.0
18,russell county,alabama,155.0,58480.0,20.560875512995896,84700.0000297193,41.0,0.0026504787961696306
19,walker county,alabama,0.0,64927.0,21.183791026845533,80500.00001173206,68.0,0.0
20,shelby county,alabama,259.0,208721.0,8.205690850465453,203400.00004711896,71.01,0.0012408909501200167
21,talladega county,alabama,0.0,80888.0,18.477400850558798,91300.00002980063,35.01,0.0
22,tallapoosa county,alabama,0.0,40756.0,20.934340955932868,110799.99996517453,39.2,0.0
23,tuscaloosa county,alabama,512.0,204424.0,16.43495871326263,141600.00004226866,66.2,0.002504598285915548
24,baldwin county,alabama,43.0,203360.0,11.667977970102282,183000.0000645383,37.4,0.00021144767899291896
25,fairbanks north star borough,alaska,538.0,100031.0,7.337725305155402,249299.99994200483,35.01,0.005378332716857774
26,kodiak island borough,alaska,96.0,13773.0,9.162854860959849,347599.9998368921,69.8,0.006970159006752342
27,kenai peninsula borough,alaska,65.0,57961.0,10.746881523783234,246599.9999675793,62.6,0.0011214437294042546
28,ketchikan gateway borough,alaska,86.0,13745.0,10.454710803928702,277599.9999279112,68.0,0.006256820662058931
29,graham county,arizona,0.0,37700.0,18.80371352785146,158200.0000535978,30.2,0.0
30,apache county,arizona,127.0,71602.0,35.229462864165804,155999.99995701943,39.0,0.0017736934722493785
31,cochise county,arizona,43.0,126516.0,16.64137342312435,129299.99995244753,75.2,0.0003398779600999083
32,gila county,arizona,113.0,53145.0,21.50155235675981,196999.99990802284,37.99,0.002126258349797723
33,coconino county,arizona,618.0,138639.0,19.272354820793574,333699.99989464565,79.0,0.004457620150174193
34,santa cruz county,arizona,54.0,46358.0,21.676948962422884,124000.00004087911,45.0,0.0011648474912636438
35,maricopa county,arizona,8003.0,4155501.0,15.508984355917613,253099.99997189845,66.2,0.0019258808985968237
36,mohave county,arizona,220.0,204691.0,18.115110092773985,191099.99995009162,48.2,0.0010747907822034187
37,navajo county,arizona,126.0,107902.0,28.310874682582345,177399.9999592882,46.4,0.0011677262701340104
38,pima county,arizona,2104.0,1007257.0,17.82752564638419,191500.00005059197,66.2,0.002088841278839462
39,pinal county,arizona,66.0,405537.0,14.486964198087968,190399.99998577114,73.4,0.00016274717226788185
40,yavapai county,arizona,99.0,220972.0,14.41766377640606,279799.9999185299,51.8,0.00044802056369132743
41,yuma county,arizona,801.0,204281.0,19.170162668089542,140600.00000096767,69.8,0.003921069507198418
42,sebastian county,arkansas,291.0,127362.0,22.150248896845213,107700.00003300935,32.0,0.0022848259292410607
43,sharp county,arkansas,0.0,17041.0,22.90945367055924,66500.00002734084,69.8,0.0
44,stone county,arkansas,0.0,12443.0,23.97331833159206,96299.99999805061,48.0,0.0
45,washington county,arkansas,305.0,223683.0,17.37056459364368,168500.0000652641,68.0,0.001363536790904986
46,white county,arkansas,32.0,78706.0,15.696389093588799,103999.99998566754,37.0,0.0004065763728305339
47,carroll county,arkansas,0.0,27782.0,15.58923043697358,133299.99999629465,39.2,0.0
48,boone county,arkansas,0.0,37212.0,15.497688917553477,101199.99998660966,50.0,0.0
49,baxter county,arkansas,32.0,41093.0,12.452242474387365,119699.9999655645,43.0,0.0007787214367410508
50,benton county,arkansas,357.0,251823.0,10.362834212919392,167399.99995757858,43.0,0.001417662405737363
51,cleburne county,arkansas,0.0,25361.0,15.097985095224951,126499.99994547415,41.0,0.0
52,desha county,arkansas,0.0,12094.0,32.13163552174632,41100.00000880715,37.4,0.0
53,craighead county,arkansas,355.0,104246.0,17.5527118546515,120699.99997195667,33.8,0.0034054064424534273
54,crawford county,arkansas,26.0,62119.0,16.413657657077543,106899.99999577286,37.99,0.0004185514898823226
55,crittenden county,arkansas,144.0,49278.0,23.178700434270873,81700.00002692596,71.01,0.0029221965177158166
56,faulkner county,arkansas,104.0,121282.0,15.656898797843043,141900.00006041946,42.8,0.0008575056479939315
57,garland county,arkansas,232.0,97994.0,18.67461273139172,135800.00004920707,66.2,0.0023674918872584037
58,greene county,arkansas,133.0,44197.0,15.564404823856822,92899.99996476511,64.4,0.0030092540217661833
59,independence county,arkansas,0.0,37097.0,17.866673855028708,91300.00000670618,28.4,0.0
60,miller county,arkansas,56.0,43760.0,20.31764168190128,93899.99997230287,33.8,0.001279707495429616
61,johnson county,arkansas,0.0,26155.0,21.9193270885108,86099.9999945473,66.2,0.0
62,lee county,arkansas,0.0,9614.0,22.6024547534845,33999.999996950675,54.0,0.0
63,lonoke county,arkansas,0.0,71568.0,12.168846411804159,119000.00004976208,64.99,0.0
64,pope county,arkansas,62.0,63372.0,18.68490816133308,103799.99998133344,64.4,0.0009783500599633908
65,pulaski county,arkansas,1768.0,392848.0,17.069197246772287,127699.9999772892,28.4,0.004500468374536716
66,polk county,arkansas,0.0,20212.0,26.35068276271522,86999.99996168635,68.0,0.0
67,saline county,arkansas,16.0,116252.0,7.922444345043526,156299.99993086144,35.6,0.00013763204073908406
68,colusa county,california,32.0,21479.0,13.869360770985613,203399.99997386528,44.6,0.0014898272731505191
69,butte county,california,1397.0,225207.0,19.97140408601864,271300.0000487792,37.99,0.006203181961484323
70,alameda county,california,4475.0,1629615.0,11.11882254397511,838300.0004042475,39.2,0.0027460473792889732
71,amador county,california,50.0,37306.0,9.55342304186994,294399.9999879104,44.6,0.0013402669811826515
72,calaveras county,california,48.0,45057.0,12.597376656235435,288000.0,68.0,0.0010653172647979226
73,contra costa county,california,2194.0,1123678.0,9.667360222412471,592600.0001806128,35.01,0.001952516646227834
74,kings county,california,231.0,150183.0,18.652577189162557,198700.00007989354,37.99,0.0015381234893430016
75,glenn county,california,24.0,27935.0,19.344907821729013,197200.0000218202,33.8,0.0008591372829783426
76,humboldt county,california,1933.0,135490.0,20.282677688390287,277999.9998780117,79.0,0.014266735552439295
77,imperial county,california,132.0,179957.0,22.436470934723296,192300.0000309407,37.4,0.0007335085603783126
78,el dorado county,california,63.0,185015.0,9.726778909818123,450800.00011538994,43.0,0.0003405129313839418
79,fresno county,california,2561.0,971616.0,25.0139972993446,235299.99998056464,36.0,0.0026358149721700756
80,inyo county,california,0.0,18195.0,9.925803792250619,343400.00008539215,68.0,0.0
81,kern county,california,1652.0,878744.0,21.74956528863924,202900.00000646955,34.0,0.0018799559371102392
82,mariposa county,california,0.0,17658.0,14.88843583644807,224299.9999690274,37.4,0.0
83,lake county,california,150.0,64095.0,22.4635306966222,224700.00000466817,66.99,0.002340276152586005
84,los angeles county,california,29593.0,10105722.0,16.708405396467466,595599.9999480329,39.2,0.002928340993350104
85,madera county,california,511.0,154440.0,20.87801087801088,228200.00010437763,39.99,0.003308728308728309
86,marin county,california,804.0,260814.0,7.865758739944941,1073599.9997637803,57.2,0.0030826566058570477
87,orange county,california,6193.0,3155816.0,11.992429216405519,701599.9999605387,37.4,0.001962408454738806
88,mendocino county,california,526.0,87497.0,18.798358800873174,350000.00009706046,50.0,0.006011634684617758
89,merced county,california,380.0,267390.0,22.76113542017278,243600.00003995263,25.0,0.0014211451437974494
90,monterey county,california,1320.0,433168.0,14.066828574594615,527899.999845386,42.8,0.003047316514608651
91,napa county,california,596.0,141005.0,8.003262295663275,639199.9999200056,37.99,0.004226800468068509
92,nevada county,california,225.0,98838.0,12.000445172909204,428499.999912465,34.0,0.002276452376616281
93,san bernardino county,california,2097.0,2121220.0,17.669548655962135,327699.99998129584,37.0,0.0009885820424095568
94,sacramento county,california,1993.0,1495400.0,16.464023003878562,353099.999908016,30.0,0.0013327537782533102
95,san benito county,california,61.0,58671.0,9.66405890473999,503599.9999913658,68.0,0.0010396959315505105
96,placer county,california,495.0,374985.0,8.126458391669,463899.99986378354,37.4,0.0013200528021120844
97,plumas county,california,0.0,18724.0,13.0260628070925,247400.00002461145,42.01,0.0
98,riverside county,california,2206.0,2355002.0,15.380666343383147,362700.00014593673,45.0,0.0009367295654101356
99,san joaquin county,california,2110.0,724153.0,16.750051439405762,339700.0000113949,41.0,0.0029137488900826207
100,san diego county,california,6736.0,3283665.0,13.004706631157564,572099.999972817,37.4,0.0020513663848169654
101,san francisco county,california,8231.0,864263.0,11.465954229210322,1302799.9999077795,54.0,0.00952372136722271
102,siskiyou county,california,52.0,43530.0,20.480128646910178,185100.00007580465,43.0,0.0011945784516425454
103,san luis obispo county,california,504.0,280119.0,13.001617169845673,582400.0000669841,27.0,0.0017992353249868807
104,san mateo county,california,2570.0,763450.0,7.201650402776868,1310900.0004874035,37.4,0.003366297727421573
105,santa barbara county,california,1549.0,442996.0,14.784106402766616,578399.9998563413,41.0,0.003496645567905805
106,santa clara county,california,7356.0,1911226.0,8.503703905241975,1185700.0005094798,28.4,0.003848838389599137
107,santa cruz county,california,1211.0,273263.0,14.12741571306763,813199.9996263358,37.4,0.004431628138460019
108,shasta county,california,1273.0,178919.0,17.866744169149168,245099.99999716645,41.0,0.007114951458481212
109,yuba county,california,146.0,74644.0,18.217137345265527,245099.99994565133,64.4,0.001955950913670221
110,solano county,california,392.0,434981.0,11.178189392180348,412599.99997750984,48.2,0.0009011887875562381
111,sonoma county,california,2189.0,500943.0,10.521556344733831,622199.9999581665,45.0,0.004369758635213986
112,stanislaus county,california,1499.0,535684.0,17.026829250080272,291399.9998750199,43.0,0.0027982915300811674
113,sutter county,california,0.0,95583.0,16.535367167801805,271899.9998898214,30.0,0.0
114,trinity county,california,16.0,13037.0,19.521362276597376,213099.99990227516,60.01,0.0012272762138528803
115,ventura county,california,1782.0,847834.0,10.121792709421891,581100.0001354836,32.0,0.002101826536798477
116,yolo county,california,229.0,212605.0,18.666541238446886,419100.00010926934,35.01,0.0010771148373744737
117,tulare county,california,539.0,458809.0,26.748385493745765,193099.9999509689,69.8,0.001174780791135309
118,denver county,colorado,3951.0,678467.0,14.829166341177979,399299.99990500446,78.8,0.00582342250986415
119,douglas county,colorado,64.0,320940.0,3.6255998005857792,469399.99999281287,77.0,0.00019941422072661556
