County,State,Population,Poverty Rate
Corozal Municipio, Puerto Rico,34933,54.807774883348124
Maunabo Municipio, Puerto Rico,11297,52.62459059927414
Peñuelas Municipio, Puerto Rico,21661,57.14879276118369
Ponce Municipio, Puerto Rico,148863,50.50751361990555
San Sebastián Municipio, Puerto Rico,38970,55.09879394405953
Toa Alta Municipio, Puerto Rico,74169,29.756367215413448
Toa Baja Municipio, Puerto Rico,81905,35.74751236188267
Vieques Municipio, Puerto Rico,8931,36.50207143656925
Yabucoa Municipio, Puerto Rico,35025,52.23982869379015
Aguada Municipio, Puerto Rico,39470,52.08512794527489
Caguas Municipio, Puerto Rico,134269,37.5678674898897
Canóvanas Municipio, Puerto Rico,46779,42.60458752859189
Cidra Municipio, Puerto Rico,41181,43.03683737646002
Coamo Municipio, Puerto Rico,39796,48.23851643381244
Dorado Municipio, Puerto Rico,37722,33.0708870155347
Luquillo Municipio, Puerto Rico,18952,45.636344449134654
Barranquitas Municipio, Puerto Rico,29237,59.95827205253617
Orocovis Municipio, Puerto Rico,21906,56.039441248972885
San Lorenzo Municipio, Puerto Rico,38689,45.55816898860141
Añasco Municipio, Puerto Rico,27892,45.23877814427076
Ceiba Municipio, Puerto Rico,12238,43.18516097401536
Ciales Municipio, Puerto Rico,17325,57.54689754689755
Comerío Municipio, Puerto Rico,19914,58.53670784372803
Isabela Municipio, Puerto Rico,43314,53.705499376644966
Jayuya Municipio, Puerto Rico,15297,59.25998561809505
Lares Municipio, Puerto Rico,27321,55.82518941473592
Las Piedras Municipio, Puerto Rico,38253,45.37683318955376
Río Grande Municipio, Puerto Rico,51768,37.55408746716118
San Juan Municipio, Puerto Rico,355181,41.4287363344323
Vega Alta Municipio, Puerto Rico,38589,49.462281997460416
Vega Baja Municipio, Puerto Rico,54754,43.53106622347226
Maricao Municipio, Puerto Rico,6180,65.04854368932038
Aibonito Municipio, Puerto Rico,24008,49.17527490836388
Guayanilla Municipio, Puerto Rico,19578,55.51639595464297
Juncos Municipio, Puerto Rico,39704,50.9243401168648
Lajas Municipio, Puerto Rico,23893,60.494705562298584
Sabana Grande Municipio, Puerto Rico,23610,48.73358746293943
Adjuntas Municipio, Puerto Rico,18525,63.96221322537112
Camuy Municipio, Puerto Rico,32936,48.35742045178528
Guánica Municipio, Puerto Rico,17327,65.14688059098516
Hormigueros Municipio, Puerto Rico,16474,39.31042855408523
Manatí Municipio, Puerto Rico,40705,45.95749907873726
Naguabo Municipio, Puerto Rico,26584,49.168672885946435
Naranjito Municipio, Puerto Rico,29112,47.22451222863424
San Germán Municipio, Puerto Rico,32937,50.70589306858548
Utuado Municipio, Puerto Rico,30209,52.96434837300142
Arecibo Municipio, Puerto Rico,89550,48.06141820212172
Arroyo Municipio, Puerto Rico,18504,56.674232598357115
Cataño Municipio, Puerto Rico,25595,49.38073842547372
Florida Municipio, Puerto Rico,12140,56.33443163097199
Hatillo Municipio, Puerto Rico,40978,45.19986334130509
Humacao Municipio, Puerto Rico,54736,45.34492838351359
Juana Díaz Municipio, Puerto Rico,47952,47.25975975975976
Morovis Municipio, Puerto Rico,31785,49.20245398773006
Mayagüez Municipio, Puerto Rico,79615,51.234063932676
Santa Isabel Municipio, Puerto Rico,22475,49.143492769744164
Trujillo Alto Municipio, Puerto Rico,69478,30.238348829845417
Quebradillas Municipio, Puerto Rico,24548,51.6498289066319
Guayama Municipio, Puerto Rico,42623,52.24643971564648
Moca Municipio, Puerto Rico,37676,57.3707399936299
Culebra Municipio, Puerto Rico,1494,41.16465863453815
Gurabo Municipio, Puerto Rico,47074,30.978884309810088
Salinas Municipio, Puerto Rico,29239,53.305516604535036
Barceloneta Municipio, Puerto Rico,24583,48.55387869666029
Loíza Municipio, Puerto Rico,27242,51.806034799207104
Yauco Municipio, Puerto Rico,37585,50.01995476918984
Guaynabo Municipio, Puerto Rico,90773,26.7579566611217
Aguadilla Municipio, Puerto Rico,55722,50.12023976167402
Cabo Rojo Municipio, Puerto Rico,49726,52.32876161364276
Fajardo Municipio, Puerto Rico,33075,43.44973544973545
Las Marías Municipio, Puerto Rico,8874,57.133198106828935
Patillas Municipio, Puerto Rico,17769,57.30204288367381
Rincón Municipio, Puerto Rico,14526,48.513011152416354
Villalba Municipio, Puerto Rico,23659,49.621708440762504
Aguas Buenas Municipio, Puerto Rico,26855,48.07298454663936
Bayamón Municipio, Puerto Rico,188614,33.63748184122069
Carolina Municipio, Puerto Rico,161684,28.87484228495089
Cayey Municipio, Puerto Rico,45431,43.54955867139178
Monroe County, Alabama,21745,33.3363991722235
Lawrence County, Alabama,33288,16.49242970439798
Lee County, Alabama,156597,21.15749343857162
Marion County, Alabama,30058,17.21671435225231
Pickens County, Alabama,20170,21.51710461080813
Sumter County, Alabama,13084,33.61357383063283
Jefferson County, Alabama,659460,17.191035089315502
Choctaw County, Alabama,13188,22.012435547467394
Franklin County, Alabama,31507,22.772717173961343
Marengo County, Alabama,19743,25.325431798612165
Russell County, Alabama,58480,20.560875512995896
Cherokee County, Alabama,25855,15.873138657899826
Covington County, Alabama,37519,17.300567712359072
Crenshaw County, Alabama,13866,17.301312563103995
Dallas County, Alabama,40755,31.39492086860508
Lauderdale County, Alabama,92590,15.87752457068798
Lowndes County, Alabama,10362,29.868751206330824
Macon County, Alabama,19358,22.626304370286185
Limestone County, Alabama,91695,14.327935001908502
Shelby County, Alabama,208721,8.205690850465453
St. Clair County, Alabama,86937,13.407409963536814
Winston County, Alabama,23968,18.336949265687583
Baldwin County, Alabama,203360,11.667977970102282
Cullman County, Alabama,81703,16.10344785381198
Elmore County, Alabama,80989,12.716541752583684
Houston County, Alabama,104108,18.279094786183578
Jackson County, Alabama,52326,18.780338646179718
Talladega County, Alabama,80888,18.477400850558798
Tuscaloosa County, Alabama,204424,16.43495871326263
Washington County, Alabama,16746,21.760420398901232
Clay County, Alabama,13407,18.594763929290668
Coffee County, Alabama,51073,15.902727468525445
Morgan County, Alabama,119157,16.321323967538625
Pike County, Alabama,33287,24.70634181512302
Chilton County, Alabama,43805,19.15763040748773
Colbert County, Alabama,54435,16.636355286121063
Coosa County, Alabama,10955,13.811045184847101
Dale County, Alabama,49393,19.114044500232826
Hale County, Alabama,14995,25.68856285428476
Etowah County, Alabama,103132,17.61431951285731
DeKalb County, Alabama,71194,21.23072169003006
Escambia County, Alabama,37621,22.01164243374711
Lamar County, Alabama,14021,22.758719064260752
Randolph County, Alabama,22530,18.206835330670216
Butler County, Alabama,20126,24.02365099870814
Mobile County, Alabama,414328,18.88745148771022
Conecuh County, Alabama,12649,26.21551110759744
Perry County, Alabama,9680,38.28512396694215
Walker County, Alabama,64927,21.183791026845533
Cleburne County, Alabama,14939,18.742887743490193
Greene County, Alabama,8533,38.59135122465721
Barbour County, Alabama,26201,24.16701652608679
Bibb County, Alabama,22580,13.87511071744907
Bullock County, Alabama,10478,27.218934911242602
Calhoun County, Alabama,115527,18.125632968916356
Chambers County, Alabama,33895,18.55140876235433
Clarke County, Alabama,24625,24.804060913705584
Fayette County, Alabama,16657,17.8123311520682
Montgomery County, Alabama,227120,20.19328989080662
Marshall County, Alabama,94738,20.74563533112373
Blount County, Alabama,57667,15.466384587372326
Henry County, Alabama,17110,13.500876680303916
Madison County, Alabama,353213,13.285184860126892
Autauga County, Alabama,55036,13.596554982193473
Tallapoosa County, Alabama,40756,20.934340955932868
Geneva County, Alabama,26572,22.215113653469817
Wilcox County, Alabama,10919,30.872790548585034
Kodiak Island Borough, Alaska,13773,9.162854860959849
Denali Borough, Alaska,2303,15.240990013026487
Valdez-Cordova Census Area, Alaska,9439,7.352473779002013
Kenai Peninsula Borough, Alaska,57961,10.746881523783234
