Date,RegionID,RegionName,State,Metro,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
1/31/2019,3101,Los Angeles County,CA,Los Angeles-Long Beach-Anaheim,0,618900,0.001942691,0.00699642,0.039120215,0.068294865,0.041077354,2019-01,2019-Q1,618900,0,2019-01
1/31/2019,139,Cook County,IL,Chicago-Naperville-Elgin,1,223300,0.003595506,0.00767148,0.02998155,0.051399558,-0.001245346,2007-02,2007-Q1,266900,-0.163357063,2004-05
1/31/2019,1090,Harris County,TX,Houston-The Woodlands-Sugar Land,2,189400,0.005307856,0.016094421,0.062254627,0.075045971,0.036687151,2019-01,2019-Q1,189400,0,2019-01
1/31/2019,2402,Maricopa County,AZ,Phoenix-Mesa-Scottsdale,3,272000,0.004431315,0.016062757,0.074674042,0.072256743,0.037076301,2006-05,2006-Q2,290300,-0.063038236,2005-11
1/31/2019,2841,San Diego County,CA,San Diego-Carlsbad,4,591400,-0.00185654,-0.000507014,0.033735361,0.061072285,0.042888437,2018-11,2018-Q4,592600,-0.002024975,2018-10
1/31/2019,1286,Orange County,CA,Los Angeles-Long Beach-Anaheim,5,725400,0,0.00373599,0.033922463,0.048151288,0.035696876,2019-01,2019-Q1,725400,0,2019-01
1/31/2019,581,Kings County,NY,New York-Newark-Jersey City,6,779700,-0.003705597,-0.007257448,0.023496981,0.072643037,0.047225964,2018-10,2018-Q4,785400,-0.007257448,2018-05
1/31/2019,2964,Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,7,304300,0.004621987,0.014671557,0.070724842,0.109493278,0.0372942,2007-01,2007-Q1,325000,-0.063692308,2006-04
1/31/2019,978,Dallas County,TX,Dallas-Fort Worth-Arlington,8,213000,0.017191977,0.052891745,0.143931257,0.126145372,0.057395821,2019-01,2019-Q1,213000,0,2019-01
1/31/2019,1347,Queens County,NY,New York-Newark-Jersey City,9,646300,0.001549667,0.006697819,0.062993421,0.075136566,0.038047376,2019-01,2019-Q1,646300,0,2019-01
1/31/2019,2832,Riverside County,CA,Riverside-San Bernardino-Ontario,10,381000,0.006073409,0.009004237,0.050454921,0.069722706,0.044505678,2006-07,2006-Q3,426900,-0.107519325,2005-04
1/31/2019,3250,San Bernardino County,CA,Riverside-San Bernardino-Ontario,11,346900,0.002311471,0.009604191,0.058590174,0.080544551,0.045788497,2006-07,2006-Q3,390300,-0.111196516,2005-09
1/31/2019,445,Clark County,NV,Las Vegas-Henderson-Paradise,12,277900,0,0.009811047,0.112489992,0.102767076,0.039084478,2006-06,2006-Q2,316800,-0.122790404,2004-12
1/31/2019,207,King County,WA,Seattle-Tacoma-Bellevue,13,621400,0.000805283,-0.006237006,0.00615285,0.107946975,0.049803597,2018-06,2018-Q2,631400,-0.015837821,2018-02
1/31/2019,791,Wayne County,MI,Detroit-Warren-Dearborn,14,81000,0.007462687,0.037131882,0.205357143,0.169651976,0.012411803,2005-12,2005-Q4,116200,-0.30292599,1999-08
1/31/2019,2049,Tarrant County,TX,Dallas-Fort Worth-Arlington,15,213500,0.008502598,0.028915663,0.106217617,0.098787085,0.048624452,2019-01,2019-Q1,213500,0,2019-01
1/31/2019,3136,Santa Clara County,CA,San Jose-Sunnyvale-Santa Clara,16,1267900,-0.005178501,-0.021153401,0.069326136,0.108453663,0.072972702,2018-09,2018-Q3,1296000,-0.021682099,2018-05
1/31/2019,1561,Broward County,FL,Miami-Fort Lauderdale-West Palm Beach,17,265000,0.0034078,0.012609859,0.085176085,0.112079113,0.041007153,2006-10,2006-Q4,292400,-0.09370725,2005-10
1/31/2019,386,Bexar County,TX,San Antonio-New Braunfels,18,181200,0.00554939,0.017405952,0.069026549,0.071485522,0.035773513,2019-01,2019-Q1,181200,0,2019-01
1/31/2019,2452,New York County,NY,New York-Newark-Jersey City,19,1236100,-0.01143634,-0.029062917,-0.050760252,0.023753448,0.025621901,2017-07,2017-Q3,1329500,-0.070251974,2015-07
1/31/2019,3175,Philadelphia County,PA,Philadelphia-Camden-Wilmington,20,160200,0.010088272,0.0382372,0.128964059,0.091089939,0.033974693,2019-01,2019-Q1,160200,0,2019-01
1/31/2019,1510,Alameda County,CA,San Francisco-Oakland-Hayward,21,869100,-0.004011002,-0.008894971,0.036741023,0.087225326,0.061741355,2018-10,2018-Q4,876900,-0.008894971,2018-09
1/31/2019,2801,Middlesex County,MA,Boston-Cambridge-Newton,22,550000,0.007510533,0.017952989,0.059526103,0.067099979,0.040945257,2019-01,2019-Q1,550000,0,2019-01
1/31/2019,2046,Suffolk County,NY,New York-Newark-Jersey City,23,396800,0.011470813,0.033871808,0.047795088,0.033148102,0.007180891,2006-05,2006-Q2,448000,-0.114285714,2004-12
1/31/2019,3017,Sacramento County,CA,Sacramento--Roseville--Arden-Arcade,24,368900,0.003809524,0.011516315,0.044746531,0.076479087,0.047516303,2005-11,2005-Q4,385800,-0.04380508,2005-04
1/31/2019,401,Bronx County,NY,New York-Newark-Jersey City,25,435800,0.002299908,0.019176801,0.134305049,0.062659764,0.026256772,2019-01,2019-Q1,435800,0,2019-01
1/31/2019,1252,Nassau County,NY,New York-Newark-Jersey City,26,541500,0.000184706,0.012906846,0.074404762,0.060703612,0.024497105,2019-01,2019-Q1,541500,0,2019-01
1/31/2019,2993,Palm Beach County,FL,Miami-Fort Lauderdale-West Palm Beach,27,277200,0.004347826,0.010204082,0.066153846,0.100280636,0.035746789,2006-06,2006-Q2,325100,-0.14733928,2005-06
1/31/2019,2241,Cuyahoga County,OH,Cleveland-Elyria,28,129200,0.00466563,0.017322835,0.052974735,0.055545892,0.013040166,2005-07,2005-Q3,135100,-0.043671355,2003-11
1/31/2019,3165,Hillsborough County,FL,Tampa-St. Petersburg-Clearwater,29,221200,0.002719855,0.014678899,0.072744908,0.103799698,0.034088871,2006-09,2006-Q3,230700,-0.04117902,2006-05
1/31/2019,2614,Allegheny County,PA,Pittsburgh,30,152500,0.000656168,0.008597884,0.064200977,0.063868503,0.035105482,2019-01,2019-Q1,152500,0,2019-01
1/31/2019,1950,Oakland County,MI,Detroit-Warren-Dearborn,31,246800,0.006114961,0.009406953,0.057412168,0.072529175,0.050426311,2019-01,2019-Q1,246800,0,2019-01
1/31/2019,2288,Franklin County,OH,Columbus,32,177800,0.005656109,0.016,0.063397129,0.076128689,0.030781708,2019-01,2019-Q1,177800,0,2019-01
1/31/2019,2339,Hennepin County,MN,Minneapolis-St. Paul-Bloomington,33,281800,0.003203987,0.011486001,0.057410882,0.060380311,0.027856371,2019-01,2019-Q1,281800,0,2019-01
1/31/2019,1287,Orange County,FL,Orlando-Kissimmee-Sanford,34,247200,0.008979592,0.022332506,0.088507266,0.101860876,0.032060779,2006-09,2006-Q3,270800,-0.087149188,2006-02
1/31/2019,1694,Fairfax County,VA,Washington-Arlington-Alexandria,35,544700,0.004240413,0.009825732,0.030847843,0.024038436,0.024619886,2006-01,2006-Q1,553100,-0.015187127,2005-09
1/31/2019,3159,Contra Costa County,CA,San Francisco-Oakland-Hayward,36,623400,-0.002240717,-0.007324841,0.05197435,0.077811781,0.051413336,2018-10,2018-Q4,628000,-0.007324841,2018-08
1/31/2019,2840,Salt Lake County,UT,Salt Lake City,37,367100,0.009625963,0.032339708,0.116823852,0.086551595,0.038008074,2019-01,2019-Q1,367100,0,2019-01
1/31/2019,1440,Travis County,TX,Austin-Round Rock,38,351000,0.001998287,0.016507385,0.089385475,0.083086745,0.051415525,2019-01,2019-Q1,351000,0,2019-01
1/31/2019,3130,Saint Louis County,MO,St. Louis,39,184200,0.000543183,0.007107709,0.033090297,0.050912533,0.011868543,2019-01,2019-Q1,184200,0,2019-01
1/31/2019,281,Pima County,AZ,Tucson,40,204400,0.003929273,0.007392804,0.067362924,0.052979103,0.010076804,2006-06,2006-Q2,237700,-0.140092554,2005-07
1/31/2019,2975,Montgomery County,MD,Washington-Arlington-Alexandria,41,451900,0.002440106,0.006458797,0.033150434,0.02064905,0.01296019,2006-07,2006-Q3,494100,-0.085407812,2005-04
