,County,State,Price_2018
0,Los Angeles County,California,595599.9999
1,Cook County,Illinois,216800
2,Harris County,Texas,178300
3,Maricopa County,Arizona,253100
4,San Diego County,California,572100
5,Orange County,California,701600
6,Kings County,New York,761799.9999
7,Miami-Dade County,Florida,284199.9999
8,Dallas County,Texas,186200
9,Queens County,New York,608000
10,Riverside County,California,362700.0001
11,San Bernardino County,California,327700
12,Clark County,Nevada,249800
13,King County,Washington,617599.9998
14,Wayne County,Michigan,67199.99999
15,Tarrant County,Texas,192999.9999
16,Santa Clara County,California,1185700.001
17,Broward County,Florida,244200
18,Bexar County,Texas,169499.9999
19,New York County,New York,1302200
20,Philadelphia County,Pennsylvania,141900
21,Alameda County,California,838300.0004
22,Middlesex County,Massachusetts,519099.9999
23,Suffolk County,New York,378700.0002
24,Sacramento County,California,353099.9999
25,Bronx County,New York,384200.0002
26,Nassau County,New York,504000
27,Palm Beach County,Florida,260000
28,Cuyahoga County,Ohio,122700
29,Hillsborough County,Florida,206200
30,Allegheny County,Pennsylvania,143300
31,Oakland County,Michigan,233400
32,Franklin County,Ohio,167200
33,Hennepin County,Minnesota,266499.9999
34,Orange County,Florida,227099.9999
35,Fairfax County,Virginia,528399.9998
36,Contra Costa County,California,592600.0002
37,Salt Lake County,Utah,328699.9999
38,Travis County,Texas,322200
39,Saint Louis County,Missouri,178300
40,Pima County,Arizona,191500.0001
41,Montgomery County,Maryland,437400.0002
42,Honolulu County,Hawaii,666900.0001
43,Westchester County,New York,601699.9998
44,Milwaukee County,Wisconsin,151400
45,Fresno County,California,235300
46,Shelby County,Tennessee,120100
47,Fulton County,Georgia,254699.9999
48,Mecklenburg County,North Carolina,221300
49,Erie County,New York,155699.9999
50,DuPage County,Illinois,282700.0001
51,Fairfield County,Connecticut,330999.9999
52,Pinellas County,Florida,210099.9999
53,Bergen County,New Jersey,458399.9999
54,Marion County,Indiana,123699.9999
55,Wake County,North Carolina,273199.9999
56,Hartford County,Connecticut,225000
57,Duval County,Florida,167100.0001
58,Prince Georges County,Maryland,281500
59,New Haven County,Connecticut,210600
60,Macomb County,Michigan,160400
61,Kern County,California,202900
62,Ventura County,California,581100.0001
63,Middlesex County,New Jersey,307799.9999
64,Gwinnett County,Georgia,210000
65,San Francisco County,California,1302800
66,Baltimore County,Maryland,232400
67,Hamilton County,Ohio,137500
68,El Paso County,Texas,119000
69,Montgomery County,Pennsylvania,294699.9999
70,Worcester County,Massachusetts,267000.0001
71,Pierce County,Washington,316800
72,Essex County,New Jersey,368100
73,Collin County,Texas,319000.0002
74,Hidalgo County,Texas,93399.99997
75,Monroe County,New York,148200
76,Essex County,Massachusetts,418599.9999
77,Jefferson County,Kentucky,152300
78,Multnomah County,Oregon,400600.0002
79,Suffolk County,Massachusetts,526699.9998
80,Oklahoma County,Oklahoma,129900
81,San Mateo County,California,1310900
82,Snohomish County,Washington,437600
83,Lake County,Illinois,232800.0001
84,Dekalb County,Georgia,176400
85,Cobb County,Georgia,234200.0001
86,San Joaquin County,California,339700
87,Will County,Illinois,212900.0001
88,Jackson County,Missouri,129200
89,Norfolk County,Massachusetts,473699.9999
90,Denton County,Texas,273699.9999
91,Bernalillo County,New Mexico,189700.0001
92,Jefferson County,Alabama,109000
93,Hudson County,New Jersey,409099.9999
94,Monmouth County,New Jersey,403999.9999
95,Davidson County,Tennessee,246599.9999
96,Providence County,Rhode Island,241300
97,Bucks County,Pennsylvania,317600.0002
98,El Paso County,Colorado,268199.9999
99,Baltimore City,Maryland,103000
100,Lee County,Florida,223699.9999
101,Tulsa County,Oklahoma,137100
102,Kent County,Michigan,177100.0001
103,Polk County,Florida,162100
104,District of Columbia,District of Columbia,551899.9999
105,Denver County,Colorado,399299.9999
106,Fort Bend County,Texas,250200
107,Ocean County,New Jersey,271900.0001
108,Arapahoe County,Colorado,359599.9999
109,Delaware County,Pennsylvania,203600
110,Bristol County,Massachusetts,296200
111,Johnson County,Kansas,266100.0001
112,Brevard County,Florida,194700.0001
113,Summit County,Ohio,127600
114,New Castle County,Delaware,245499.9999
115,Anne Arundel County,Maryland,332299.9998
116,Union County,New Jersey,332000.0001
117,Montgomery County,Ohio,97000
118,Jefferson County,Colorado,403299.9998
119,Washington County,Oregon,392300.0002
120,Lancaster County,Pennsylvania,196000
121,Douglas County,Nebraska,160100
122,Utah County,Utah,306300
123,Kane County,Illinois,221100
124,Stanislaus County,California,291399.9999
125,Camden County,New Jersey,164000
126,Ramsey County,Minnesota,232999.9999
127,Passaic County,New Jersey,317200
128,Chester County,Pennsylvania,335599.9999
129,Sedgwick County,Kansas,128800
130,Lake County,Indiana,135900
131,Plymouth County,Massachusetts,367700.0001
132,Volusia County,Florida,182799.9999
133,Morris County,New Jersey,427600.0002
134,Guilford County,North Carolina,137600
135,Dane County,Wisconsin,258900.0001
136,Sonoma County,California,622200
137,Spokane County,Washington,218100
138,Richmond County,New York,495000
139,Onondaga County,New York,134100
140,Pasco County,Florida,168700
141,Hampden County,Massachusetts,194900
142,Montgomery County,Texas,234199.9999
143,Greenville County,South Carolina,180900
144,Burlington County,New Jersey,218900
145,Tulare County,California,193100
146,Lucas County,Ohio,92900
147,Adams County,Colorado,317899.9999
148,East Baton Rouge Parish,Louisiana,159300
149,Virginia Beach City,Virginia,257000.0001
150,York County,Pennsylvania,172100
151,Jefferson Parish,Louisiana,164500
152,Knox County,Tennessee,168399.9999
153,Polk County,Iowa,173500
154,Genesee County,Michigan,96599.99999
155,Clark County,Washington,330500.0002
156,Santa Barbara County,California,578399.9999
157,Seminole County,Florida,234700.0001
158,Williamson County,Texas,261200
159,Washoe County,Nevada,334800
160,Monterey County,California,527899.9998
161,Solano County,California,412600
162,Mobile County,Alabama,111300
163,Berks County,Pennsylvania,168500
164,Cameron County,Texas,87600.00002
165,Prince William County,Virginia,356800
166,Hillsborough County,New Hampshire,266900.0001
167,Dakota County,Minnesota,263399.9999
168,Ada County,Idaho,259800
169,Waukesha County,Wisconsin,273600.0001
170,Richland County,South Carolina,133000
171,Pulaski County,Arkansas,127700
172,Sarasota County,Florida,245500.0001
173,Clackamas County,Oregon,413199.9999
174,Pinal County,Arizona,190400
175,Stark County,Ohio,118000
176,Orange County,New York,235400
177,Butler County,Ohio,160000
178,Mercer County,New Jersey,226599.9999
179,Westmoreland County,Pennsylvania,124700
180,Saint Charles County,Missouri,216600
181,Allen County,Indiana,125000
182,Lane County,Oregon,269399.9999
183,Forsyth County,North Carolina,137800
184,Charleston County,South Carolina,315399.9999
185,Lehigh County,Pennsylvania,186100.0001
186,Placer County,California,463899.9999
187,Washtenaw County,Michigan,262300
188,Orleans Parish,Louisiana,183300
189,Nueces County,Texas,144400
190,Hamilton County,Tennessee,160400
191,Madison County,Alabama,153300
192,Marion County,Florida,136200
193,Anoka County,Minnesota,233999.9999
194,Somerset County,New Jersey,392499.9998
195,Manatee County,Florida,246700.0001
196,Collier County,Florida,327100
197,Luzerne County,Pennsylvania,92600.00003
198,Cumberland County,North Carolina,104900
199,Saint Louis City,Missouri,118400
200,Chesterfield County,Virginia,228800.0001
201,Marion County,Oregon,245099.9999
202,Brazoria County,Texas,205899.9999
203,Loudoun County,Virginia,481900.0001
204,Rockland County,New York,440000.0002
205,Bell County,Texas,130100
206,McHenry County,Illinois,202100
207,Henrico County,Virginia,222400
208,Davis County,Utah,292799.9999
209,Albany County,New York,223200
210,Lorain County,Ohio,133100.0001
211,Larimer County,Colorado,358000
212,Northampton County,Pennsylvania,197600.0001
213,Escambia County,Florida,136300
214,Dutchess County,New York,256899.9999
215,Lake County,Florida,196500
216,Fayette County,Kentucky,172600
217,Winnebago County,Illinois,103200
218,Rockingham County,New Hampshire,327500.0001
219,Boulder County,Colorado,507699.9999
220,Anchorage Borough,Alaska,339300
221,Galveston County,Texas,195099.9999
222,Gloucester County,New Jersey,192400
223,Howard County,Maryland,432700.0001
224,Douglas County,Colorado,469400
225,Lancaster County,Nebraska,171100
226,Spartanburg County,South Carolina,131499.9999
227,Cumberland County,Maine,278900
228,Ingham County,Michigan,122200
229,Erie County,Pennsylvania,116900
230,Lubbock County,Texas,130300
231,Saint Lucie County,Florida,196000.0001
232,Leon County,Florida,167800
233,Greene County,Missouri,130100.0001
234,Hamilton County,Indiana,249499.9999
235,Atlantic County,New Jersey,172000
236,New London County,Connecticut,229900
237,Saint Clair County,Illinois,93799.99998
238,San Luis Obispo County,California,582400.0001
239,Horry County,South Carolina,166600.0001
240,Madison County,Illinois,112800
241,Osceola County,Florida,193500
242,Dauphin County,Pennsylvania,151500
243,Durham County,North Carolina,205300
244,Chatham County,Georgia,158999.9999
245,Ottawa County,Michigan,193100
246,Rutherford County,Tennessee,212600
247,Lexington County,South Carolina,135499.9999
248,Santa Cruz County,California,813199.9996
249,Clayton County,Georgia,92099.99999
250,Merced County,California,243600
251,Cleveland County,Oklahoma,156800.0001
252,Weld County,Colorado,298699.9999
253,Marin County,California,1073600
254,Jefferson County,Texas,93999.99999
255,Thurston County,Washington,288000
256,Kitsap County,Washington,337800.0001
257,Kalamazoo County,Michigan,144600
258,Webb County,Texas,132000
259,Brown County,Wisconsin,165200
260,Alachua County,Florida,170500
261,Harford County,Maryland,266800.0001
262,Yakima County,Washington,187800
263,Norfolk City,Virginia,181100
264,Mahoning County,Ohio,80099.99999
265,Buncombe County,North Carolina,272800
266,Washington County,Minnesota,280200.0001
267,Cumberland County,Pennsylvania,191300
268,McLennan County,Texas,137500
269,Oneida County,New York,118900
270,Saint Tammany Parish,Louisiana,189000
271,Frederick County,Maryland,303100.0001
272,Weber County,Utah,231400
273,Lake County,Ohio,140500.0001
274,Montgomery County,Alabama,82299.99999
275,York County,South Carolina,180200
276,Chesapeake City,Virginia,254400
277,Clay County,Missouri,173200
278,Lafayette Parish,Louisiana,164300
279,Benton County,Arkansas,167400
280,Butte County,California,271300
281,Saratoga County,New York,261099.9999
282,Jefferson County,Missouri,161200
283,Niagara County,New York,131299.9999
284,Barnstable County,Massachusetts,398800.0002
285,Lackawanna County,Pennsylvania,118600
286,Cherokee County,Georgia,233900
287,Warren County,Ohio,209299.9999
288,Linn County,Iowa,141100.0001
289,Yavapai County,Arizona,279799.9999
290,Trumbull County,Ohio,79300.00002
291,Smith County,Texas,145400
292,Dona Ana County,New Mexico,162099.9999
293,Washington County,Pennsylvania,137500
294,Arlington County,Virginia,651300
295,Gaston County,North Carolina,134100
296,Richmond City,Virginia,200900.0001
297,Henry County,Georgia,162900
298,Jackson County,Oregon,287799.9999
299,Washington County,Arkansas,168500.0001
300,New Hanover County,North Carolina,221900.0001
301,Union County,North Carolina,210900
302,Whatcom County,Washington,354100.0002
303,Champaign County,Illinois,133900
304,Yolo County,California,419100.0001
305,Broome County,New York,102100
306,Saint Louis County,Minnesota,138600
307,Mohave County,Arizona,191100
308,Saginaw County,Michigan,103300
309,Elkhart County,Indiana,141500
310,Sangamon County,Illinois,119000
311,Clermont County,Ohio,162500
312,Sussex County,Delaware,268000.0001
313,York County,Maine,270399.9999
314,Yuma County,Arizona,140600
315,Racine County,Wisconsin,208000
316,Shelby County,Alabama,203400
317,Brazos County,Texas,199099.9999
318,Tuscaloosa County,Alabama,141600
319,Kanawha County,West Virginia,98900.00001
320,Calcasieu Parish,Louisiana,144999.9999
321,Clay County,Florida,192200.0001
322,Saint Johns County,Florida,297300
323,Litchfield County,Connecticut,261399.9999
324,Muscogee County,Georgia,88399.99999
325,Canyon County,Idaho,186400.0001
326,Anderson County,South Carolina,137500
327,Harrison County,Mississippi,108200
328,Peoria County,Illinois,94399.99996
329,Hawaii County,Hawaii,333900
330,Williamson County,Tennessee,440800.0001
331,Ulster County,New York,208400.0001
332,Baldwin County,Alabama,183000.0001
333,El Dorado County,California,450800.0001
334,Livingston County,Michigan,247499.9999
335,Okaloosa County,Florida,206599.9999
336,Newport News City,Virginia,172299.9999
337,Vanderburgh County,Indiana,112300
338,Hall County,Georgia,176200
339,Cabarrus County,North Carolina,179500
340,Shawnee County,Kansas,114400
341,Berkeley County,South Carolina,185300
342,Onslow County,North Carolina,135200
343,Shasta County,California,245100
344,Outagamie County,Wisconsin,158700.0001
345,Forsyth County,Georgia,320300.0001
346,Benton County,Washington,251399.9999
347,Imperial County,California,192300
348,Tippecanoe County,Indiana,146099.9999
349,Hernando County,Florida,148900.0001
350,Medina County,Ohio,187600
351,Montgomery County,Tennessee,149000.0001
352,Muskegon County,Michigan,114200
353,Beaver County,Pennsylvania,131000
354,Monroe County,Pennsylvania,137200
355,McLean County,Illinois,146400
356,Minnehaha County,South Dakota,182700
357,Johnston County,North Carolina,165299.9999
358,Bay County,Florida,191000
359,Carroll County,Maryland,309500.0001
360,Winnebago County,Wisconsin,170800.0001
361,Kenosha County,Wisconsin,167300.0001
362,Kent County,Rhode Island,229299.9999
363,Middlesex County,Connecticut,290600.0001
364,Scott County,Iowa,153000.0001
365,Porter County,Indiana,188500.0001
366,Saint Clair County,Michigan,132100.0001
367,Davidson County,North Carolina,125200
368,Boone County,Missouri,167800
369,Kent County,Delaware,195399.9999
370,Beaufort County,South Carolina,294900
371,Portage County,Ohio,151700.0001
372,DeSoto County,Mississippi,159599.9999
373,Sumner County,Tennessee,223800
374,Jackson County,Michigan,121800
375,Aiken County,South Carolina,99599.99999
376,Charlotte County,Florida,189200
377,Kenton County,Kentucky,143000
378,Iredell County,North Carolina,182800
379,Rensselaer County,New York,178000
380,Pueblo County,Colorado,144600.0001
381,Sarpy County,Nebraska,190500.0001
382,Hampshire County,Massachusetts,259300.0001
383,Deschutes County,Oregon,353099.9998
384,Wyandotte County,Kansas,93799.99998
385,Hays County,Texas,250600
386,Cumberland County,New Jersey,133399.9999
387,Sullivan County,Tennessee,121500
388,Berrien County,Michigan,129200.0001
389,Chittenden County,Vermont,315400
390,Bibb County,Georgia,84400.00001
391,Maui County,Hawaii,599600.0003
392,Schenectady County,New York,164300
393,Catawba County,North Carolina,126400
394,Penobscot County,Maine,141400.0001
395,Ouachita Parish,Louisiana,110300
396,Kings County,California,198700.0001
