,Unnamed: 0,County,State,lat,lng,Unnamed: 0_x,Temp,Unnamed: 0_y,Homeless Pop,Population,Homeless Rate
0,0,Corozal Municipio, Puerto Rico,18.3411016,-66.3173718,0,80.6,3159,0,34933,0
1,1,Maunabo Municipio, Puerto Rico,18.0071885,-65.8993289,1,80.6,3175,0,11297,0
2,2,Peñuelas Municipio, Puerto Rico,18.0633577,-66.7273896,,,,,,
3,3,Ponce Municipio, Puerto Rico,18.0110768,-66.6140616,3,80.01,3179,84,148863,0.009297178
4,4,San Sebastián Municipio, Puerto Rico,18.3354756,-66.9946787,,,,,,
5,5,Toa Alta Municipio, Puerto Rico,18.3882823,-66.2482237,5,80.6,3191,0,74169,0
6,6,Toa Baja Municipio, Puerto Rico,18.3882823,-66.2482237,6,80.6,3192,0,81905,0
7,7,Vieques Municipio, Puerto Rico,18.1474625,-65.4448811,7,80.6,3195,0,8931,0
8,8,Yabucoa Municipio, Puerto Rico,18.0505201,-65.8793288,8,80.6,3197,0,35025,0
9,9,Aguada Municipio, Puerto Rico,18.3801579,-67.188704,9,79,3138,92,39470,0.012522118
10,10,Caguas Municipio, Puerto Rico,18.2387995,-66.035249,10,80.6,3147,340,134269,0.033874664
11,11,Canóvanas Municipio, Puerto Rico,18.3748748,-65.8997533,,,,,,
12,12,Cidra Municipio, Puerto Rico,18.1757914,-66.1612779,12,80.6,3153,0,41181,0
13,13,Coamo Municipio, Puerto Rico,18.0799616,-66.3579473,13,80.6,3154,0,39796,0
14,14,Dorado Municipio, Puerto Rico,18.4588347,-66.2676683,14,80.6,3156,0,37722,0
15,15,Luquillo Municipio, Puerto Rico,18.3724507,-65.7165511,15,80.6,3172,0,18952,0
16,16,Barranquitas Municipio, Puerto Rico,18.1866242,-66.3062802,16,80.6,3145,0,29237,0
17,17,Orocovis Municipio, Puerto Rico,18.2269224,-66.3911686,17,80.6,3181,0,21906,0
18,18,San Lorenzo Municipio, Puerto Rico,18.189402,-65.9609971,18,80.6,3185,40,38689,0.002084419
19,19,Añasco Municipio, Puerto Rico,18.2854476,-67.1402935,,,,,,
20,20,Ceiba Municipio, Puerto Rico,18.2641688,-65.6483018,20,80.6,3149,0,12238,0
21,21,Ciales Municipio, Puerto Rico,18.3353252,-66.4680716,21,80.6,3152,0,17325,0
22,22,Comerío Municipio, Puerto Rico,18.2192001,-66.2256022,,,,,,
23,23,Isabela Municipio, Puerto Rico,18.4703856,-67.0242062,23,79,3168,0,43314,0
24,24,Jayuya Municipio, Puerto Rico,18.2185674,-66.5915617,24,80.6,3169,0,15297,0
25,25,Lares Municipio, Puerto Rico,18.2946746,-66.8771211,25,79,3171,0,27321,0
26,26,Las Piedras Municipio, Puerto Rico,18.183014,-65.8662742,26,80.6,3173,0,38253,0
27,27,Río Grande Municipio, Puerto Rico,-53.7860374,-67.7002243,,,,,,
28,28,San Juan Municipio, Puerto Rico,18.4655394,-66.1057355,28,80.6,3186,644,355181,0.14292055
29,29,Vega Alta Municipio, Puerto Rico,18.4121703,-66.3312805,29,80.6,3193,0,38589,0
30,30,Vega Baja Municipio, Puerto Rico,18.4447305,-66.3877338,30,80.6,3194,0,54754,0
31,31,Maricao Municipio, Puerto Rico,18.1807902,-66.9799001,31,79,3174,0,6180,0
32,32,Aibonito Municipio, Puerto Rico,18.1399594,-66.2660016,32,80.6,3143,0,24008,0
33,33,Guayanilla Municipio, Puerto Rico,18.0191314,-66.791842,33,80.01,3161,0,19578,0
34,34,Juncos Municipio, Puerto Rico,18.2274558,-65.920997,34,80.6,3167,92,39704,0.003286419
35,35,Lajas Municipio, Puerto Rico,18.049962,-67.0593449,35,79,3170,0,23893,0
36,36,Sabana Grande Municipio, Puerto Rico,18.0777392,-66.9604549,36,80.01,3184,0,23610,0
37,37,Adjuntas Municipio, Puerto Rico,18.1619758,-66.7233966,37,80.01,3137,0,18525,0
38,38,Camuy Municipio, Puerto Rico,18.451728,-66.8535749,38,79,3148,0,32936,0
39,39,Guánica Municipio, Puerto Rico,17.9725145,-66.9086264,,,,,,
40,40,Hormigueros Municipio, Puerto Rico,18.139096,-67.1276477,40,80.01,3165,0,16474,0
41,41,Manatí Municipio, Puerto Rico,18.433005,-66.4758583,,,,,,
42,42,Naguabo Municipio, Puerto Rico,18.2116247,-65.7348841,42,80.6,3178,0,26584,0
43,43,Naranjito Municipio, Puerto Rico,18.3007861,-66.2448904,43,80.6,3180,0,29112,0
44,44,San Germán Municipio, Puerto Rico,18.0807082,-67.0411096,,,,,,
