County,State,Population,Poverty Rate
Corozal Municipio, Puerto Rico,34933,54.80777488
Maunabo Municipio, Puerto Rico,11297,52.6245906
Peñuelas Municipio, Puerto Rico,21661,57.14879276
Ponce Municipio, Puerto Rico,148863,50.50751362
San Sebastián Municipio, Puerto Rico,38970,55.09879394
Toa Alta Municipio, Puerto Rico,74169,29.75636722
Toa Baja Municipio, Puerto Rico,81905,35.74751236
Vieques Municipio, Puerto Rico,8931,36.50207144
Yabucoa Municipio, Puerto Rico,35025,52.23982869
Aguada Municipio, Puerto Rico,39470,52.08512795
Caguas Municipio, Puerto Rico,134269,37.56786749
Canóvanas Municipio, Puerto Rico,46779,42.60458753
Cidra Municipio, Puerto Rico,41181,43.03683738
Coamo Municipio, Puerto Rico,39796,48.23851643
Dorado Municipio, Puerto Rico,37722,33.07088702
Luquillo Municipio, Puerto Rico,18952,45.63634445
Barranquitas Municipio, Puerto Rico,29237,59.95827205
Orocovis Municipio, Puerto Rico,21906,56.03944125
San Lorenzo Municipio, Puerto Rico,38689,45.55816899
Añasco Municipio, Puerto Rico,27892,45.23877814
Ceiba Municipio, Puerto Rico,12238,43.18516097
Ciales Municipio, Puerto Rico,17325,57.54689755
Comerío Municipio, Puerto Rico,19914,58.53670784
Isabela Municipio, Puerto Rico,43314,53.70549938
Jayuya Municipio, Puerto Rico,15297,59.25998562
Lares Municipio, Puerto Rico,27321,55.82518941
Las Piedras Municipio, Puerto Rico,38253,45.37683319
Río Grande Municipio, Puerto Rico,51768,37.55408747
San Juan Municipio, Puerto Rico,355181,41.42873633
Vega Alta Municipio, Puerto Rico,38589,49.462282
Vega Baja Municipio, Puerto Rico,54754,43.53106622
Maricao Municipio, Puerto Rico,6180,65.04854369
Aibonito Municipio, Puerto Rico,24008,49.17527491
Guayanilla Municipio, Puerto Rico,19578,55.51639595
Juncos Municipio, Puerto Rico,39704,50.92434012
Lajas Municipio, Puerto Rico,23893,60.49470556
Sabana Grande Municipio, Puerto Rico,23610,48.73358746
Adjuntas Municipio, Puerto Rico,18525,63.96221323
Camuy Municipio, Puerto Rico,32936,48.35742045
Guánica Municipio, Puerto Rico,17327,65.14688059
Hormigueros Municipio, Puerto Rico,16474,39.31042855
Manatí Municipio, Puerto Rico,40705,45.95749908
Naguabo Municipio, Puerto Rico,26584,49.16867289
Naranjito Municipio, Puerto Rico,29112,47.22451223
San Germán Municipio, Puerto Rico,32937,50.70589307
Utuado Municipio, Puerto Rico,30209,52.96434837
Arecibo Municipio, Puerto Rico,89550,48.0614182
Arroyo Municipio, Puerto Rico,18504,56.6742326
Cataño Municipio, Puerto Rico,25595,49.38073843
Florida Municipio, Puerto Rico,12140,56.33443163
Hatillo Municipio, Puerto Rico,40978,45.19986334
Humacao Municipio, Puerto Rico,54736,45.34492838
Juana Díaz Municipio, Puerto Rico,47952,47.25975976
Morovis Municipio, Puerto Rico,31785,49.20245399
Mayagüez Municipio, Puerto Rico,79615,51.23406393
Santa Isabel Municipio, Puerto Rico,22475,49.14349277
Trujillo Alto Municipio, Puerto Rico,69478,30.23834883
Quebradillas Municipio, Puerto Rico,24548,51.64982891
Guayama Municipio, Puerto Rico,42623,52.24643972
Moca Municipio, Puerto Rico,37676,57.37073999
Culebra Municipio, Puerto Rico,1494,41.16465863
Gurabo Municipio, Puerto Rico,47074,30.97888431
Salinas Municipio, Puerto Rico,29239,53.3055166
Barceloneta Municipio, Puerto Rico,24583,48.5538787
Loíza Municipio, Puerto Rico,27242,51.8060348
Yauco Municipio, Puerto Rico,37585,50.01995477
Guaynabo Municipio, Puerto Rico,90773,26.75795666
Aguadilla Municipio, Puerto Rico,55722,50.12023976
Cabo Rojo Municipio, Puerto Rico,49726,52.32876161
Fajardo Municipio, Puerto Rico,33075,43.44973545
Las Marías Municipio, Puerto Rico,8874,57.13319811
Patillas Municipio, Puerto Rico,17769,57.30204288
Rincón Municipio, Puerto Rico,14526,48.51301115
Villalba Municipio, Puerto Rico,23659,49.62170844
Aguas Buenas Municipio, Puerto Rico,26855,48.07298455
Bayamón Municipio, Puerto Rico,188614,33.63748184
Carolina Municipio, Puerto Rico,161684,28.87484228
Cayey Municipio, Puerto Rico,45431,43.54955867
Monroe County, Alabama,21745,33.33639917
Lawrence County, Alabama,33288,16.4924297
Lee County, Alabama,156597,21.15749344
Marion County, Alabama,30058,17.21671435
Pickens County, Alabama,20170,21.51710461
Sumter County, Alabama,13084,33.61357383
Jefferson County, Alabama,659460,17.19103509
Choctaw County, Alabama,13188,22.01243555
Franklin County, Alabama,31507,22.77271717
Marengo County, Alabama,19743,25.3254318
Russell County, Alabama,58480,20.56087551
Cherokee County, Alabama,25855,15.87313866
Covington County, Alabama,37519,17.30056771
Crenshaw County, Alabama,13866,17.30131256
Dallas County, Alabama,40755,31.39492087
Lauderdale County, Alabama,92590,15.87752457
Lowndes County, Alabama,10362,29.86875121
Macon County, Alabama,19358,22.62630437
Limestone County, Alabama,91695,14.327935
Shelby County, Alabama,208721,8.20569085
