County,State,lat,lng,Unnamed: 0,Temp
Corozal Municipio, Puerto Rico,18.3411016,-66.3173718,0,80.6
Maunabo Municipio, Puerto Rico,18.0071885,-65.8993289,1,80.6
Peñuelas Municipio, Puerto Rico,18.0633577,-66.7273896,,
Ponce Municipio, Puerto Rico,18.0110768,-66.6140616,3,80.01
San Sebastián Municipio, Puerto Rico,18.3354756,-66.9946787,,
Toa Alta Municipio, Puerto Rico,18.3882823,-66.2482237,5,80.6
Toa Baja Municipio, Puerto Rico,18.3882823,-66.2482237,6,80.6
Vieques Municipio, Puerto Rico,18.1474625,-65.4448811,7,80.6
Yabucoa Municipio, Puerto Rico,18.0505201,-65.8793288,8,80.6
Aguada Municipio, Puerto Rico,18.3801579,-67.188704,9,79
Caguas Municipio, Puerto Rico,18.2387995,-66.035249,10,80.6
Canóvanas Municipio, Puerto Rico,18.3748748,-65.8997533,,
Cidra Municipio, Puerto Rico,18.1757914,-66.1612779,12,80.6
Coamo Municipio, Puerto Rico,18.0799616,-66.3579473,13,80.6
Dorado Municipio, Puerto Rico,18.4588347,-66.2676683,14,80.6
Luquillo Municipio, Puerto Rico,18.3724507,-65.7165511,15,80.6
Barranquitas Municipio, Puerto Rico,18.1866242,-66.3062802,16,80.6
Orocovis Municipio, Puerto Rico,18.2269224,-66.3911686,17,80.6
San Lorenzo Municipio, Puerto Rico,18.189402,-65.9609971,18,80.6
Añasco Municipio, Puerto Rico,18.2854476,-67.1402935,,
Ceiba Municipio, Puerto Rico,18.2641688,-65.6483018,20,80.6
Ciales Municipio, Puerto Rico,18.3353252,-66.4680716,21,80.6
Comerío Municipio, Puerto Rico,18.2192001,-66.2256022,,
Isabela Municipio, Puerto Rico,18.4703856,-67.0242062,23,79
Jayuya Municipio, Puerto Rico,18.2185674,-66.5915617,24,80.6
Lares Municipio, Puerto Rico,18.2946746,-66.8771211,25,79
Las Piedras Municipio, Puerto Rico,18.183014,-65.8662742,26,80.6
Río Grande Municipio, Puerto Rico,-53.7860374,-67.7002243,,
San Juan Municipio, Puerto Rico,18.4655394,-66.1057355,28,80.6
Vega Alta Municipio, Puerto Rico,18.4121703,-66.3312805,29,80.6
Vega Baja Municipio, Puerto Rico,18.4447305,-66.3877338,30,80.6
Maricao Municipio, Puerto Rico,18.1807902,-66.9799001,31,79
Aibonito Municipio, Puerto Rico,18.1399594,-66.2660016,32,80.6
Guayanilla Municipio, Puerto Rico,18.0191314,-66.791842,33,80.01
Juncos Municipio, Puerto Rico,18.2274558,-65.920997,34,80.6
Lajas Municipio, Puerto Rico,18.049962,-67.0593449,35,79
Sabana Grande Municipio, Puerto Rico,18.0777392,-66.9604549,36,80.01
Adjuntas Municipio, Puerto Rico,18.1619758,-66.7233966,37,80.01
Camuy Municipio, Puerto Rico,18.451728,-66.8535749,38,79
Guánica Municipio, Puerto Rico,17.9725145,-66.9086264,,
Hormigueros Municipio, Puerto Rico,18.139096,-67.1276477,40,80.01
Manatí Municipio, Puerto Rico,18.433005,-66.4758583,,
Naguabo Municipio, Puerto Rico,18.2116247,-65.7348841,42,80.6
Naranjito Municipio, Puerto Rico,18.3007861,-66.2448904,43,80.6
San Germán Municipio, Puerto Rico,18.0807082,-67.0411096,,
Utuado Municipio, Puerto Rico,18.2655095,-66.7004519,45,80.6
Arecibo Municipio, Puerto Rico,18.4596051,-66.7441725,46,80.6
Arroyo Municipio, Puerto Rico,17.9658005,-66.0612756,47,80.6
Cataño Municipio, Puerto Rico,18.4465355,-66.1355775,,
Florida Municipio, Puerto Rico,18.3630091,-66.5581092,49,80.6
Hatillo Municipio, Puerto Rico,18.4863331,-66.8254545,50,79
Humacao Municipio, Puerto Rico,18.1551337,-65.8203943,51,80.6
Juana Díaz Municipio, Puerto Rico,18.0534372,-66.5075079,,
Morovis Municipio, Puerto Rico,18.325785,-66.4065592,53,80.6
Mayagüez Municipio, Puerto Rico,18.2013452,-67.1451549,,
Santa Isabel Municipio, Puerto Rico,17.9656798,-66.4041624,55,80.6
Trujillo Alto Municipio, Puerto Rico,18.3546719,-66.0073876,56,80.6
Guayama Municipio, Puerto Rico,17.9841328,-66.1137767,57,80.6
Moca Municipio, Puerto Rico,18.3946688,-67.1132356,58,79
Culebra Municipio, Puerto Rico,18.310394,-65.3030705,59,79
Gurabo Municipio, Puerto Rico,18.2543987,-65.9729421,60,80.6
Salinas Municipio, Puerto Rico,36.6777372,-121.6555013,61,80.6
Barceloneta Municipio, Puerto Rico,18.4505017,-66.5385055,62,80.6
Loíza Municipio, Puerto Rico,18.4298388,-65.87745,,
Yauco Municipio, Puerto Rico,18.034964,-66.8498983,64,79
Guaynabo Municipio, Puerto Rico,18.3615548,-66.1110682,65,80.6
Aguadilla Municipio, Puerto Rico,18.4274454,-67.1540698,66,80.01
Cabo Rojo Municipio, Puerto Rico,18.0866265,-67.1457347,67,79
Fajardo Municipio, Puerto Rico,18.3257869,-65.6523838,68,80.6
Las Marías Municipio, Puerto Rico,18.2547776,-66.9853978,,
Patillas Municipio, Puerto Rico,18.0063544,-66.0157194,70,80.6
Rincón Municipio, Puerto Rico,18.3402164,-67.2500174,,
Villalba Municipio, Puerto Rico,18.1271824,-66.4921164,,
Aguas Buenas Municipio, Puerto Rico,18.2568989,-66.1029442,72,80.6
Bayamón Municipio, Puerto Rico,18.389396,-66.1653224,,
Carolina Municipio, Puerto Rico,18.3803255,-65.9626213,74,80.6
Cayey Municipio, Puerto Rico,18.1119051,-66.166,75,80.6
Monroe County, Alabama,43.2841246,-77.7452081,76,37.99
Lawrence County, Alabama,40.957855,-80.365865,77,48
Lee County, Alabama,26.6630286,-81.9534815,78,84.99
Marion County, Alabama,29.2787765,-82.12784,79,48
Pickens County, Alabama,34.9046217,-82.6483442,80,50
Sumter County, Alabama,28.6747526,-82.0842901,81,84.2
Jefferson County, Alabama,39.5800298,-105.2662931,82,52
Choctaw County, Alabama,33.9851472,-95.5197394,83,77
Franklin County, Alabama,40.0154745,-82.9931607,84,51.01
Marengo County, Alabama,32.2459085,-87.7763333,85,75.99
Russell County, Alabama,32.3552497,-85.1894045,86,75.99
Cherokee County, Alabama,34.2514526,-84.4802606,87,75.2
Covington County, Alabama,31.3066438,-86.4996546,88,77
Crenshaw County, Alabama,31.6671872,-86.3376761,89,77
Dallas County, Alabama,32.8024682,-96.8350999,90,79
Lauderdale County, Alabama,34.8840876,-87.658113,91,70
Lowndes County, Alabama,30.8600022,-83.2934086,92,80.6
Macon County, Alabama,35.1197519,-83.336188,93,60.8
Limestone County, Alabama,34.7800072,-86.9423801,94,68
Shelby County, Alabama,35.1268552,-89.9253233,95,63
St. Clair County, Alabama,43.016179,-82.6483442,96,36
Winston County, Alabama,34.1690087,-87.3413599,97,70
Baldwin County, Alabama,30.6010744,-87.7763333,98,73
Cullman County, Alabama,34.2011537,-86.8220341,99,70
Elmore County, Alabama,32.5647083,-86.0121573,100,80.01
Houston County, Alabama,32.4219655,-83.634843,101,78.01
Jackson County, Alabama,38.9914998,-94.315422,102,51.01
Talladega County, Alabama,33.4231716,-86.1344697,103,75.2
Tuscaloosa County, Alabama,33.3227653,-87.460397,104,75.2
Washington County, Alabama,45.5469616,-123.1386021,105,50
Clay County, Alabama,29.9943564,-81.7787021,106,82.4
Coffee County, Alabama,35.4576849,-86.0529604,107,64.4
Morgan County, Alabama,41.0576176,-111.6183755,108,44.01
Pike County, Alabama,41.3361875,-75.0611147,109,48.2
Chilton County, Alabama,32.944392,-86.6611083,110,75.2
Colbert County, Alabama,34.7117567,-87.8942451,111,70
