,County,State,Temp
0,Corozal Municipio, Puerto Rico,80.6
1,Maunabo Municipio, Puerto Rico,80.6
2,PeÃ±uelas Municipio, Puerto Rico,80.01
3,Ponce Municipio, Puerto Rico,80.01
4,San SebastiÃ¡n Municipio, Puerto Rico,80.01
5,Toa Alta Municipio, Puerto Rico,80.6
6,Toa Baja Municipio, Puerto Rico,80.6
7,Vieques Municipio, Puerto Rico,80.6
8,Yabucoa Municipio, Puerto Rico,80.6
9,Aguada Municipio, Puerto Rico,79
10,Caguas Municipio, Puerto Rico,80.6
11,CanÃ³vanas Municipio, Puerto Rico,80.6
12,Cidra Municipio, Puerto Rico,80.6
13,Coamo Municipio, Puerto Rico,80.6
14,Dorado Municipio, Puerto Rico,80.6
15,Luquillo Municipio, Puerto Rico,80.6
16,Barranquitas Municipio, Puerto Rico,80.6
17,Orocovis Municipio, Puerto Rico,80.6
18,San Lorenzo Municipio, Puerto Rico,80.6
19,AÃ±asco Municipio, Puerto Rico,79
20,Ceiba Municipio, Puerto Rico,80.6
21,Ciales Municipio, Puerto Rico,80.6
22,ComerÃ­o Municipio, Puerto Rico,80.6
23,Isabela Municipio, Puerto Rico,79
24,Jayuya Municipio, Puerto Rico,80.6
25,Lares Municipio, Puerto Rico,79
26,Las Piedras Municipio, Puerto Rico,80.6
27,RÃ­o Grande Municipio, Puerto Rico,64.4
28,San Juan Municipio, Puerto Rico,80.6
29,Vega Alta Municipio, Puerto Rico,80.6
30,Vega Baja Municipio, Puerto Rico,80.6
31,Maricao Municipio, Puerto Rico,79
32,Aibonito Municipio, Puerto Rico,80.6
33,Guayanilla Municipio, Puerto Rico,80.01
34,Juncos Municipio, Puerto Rico,80.6
35,Lajas Municipio, Puerto Rico,79
36,Sabana Grande Municipio, Puerto Rico,80.01
37,Adjuntas Municipio, Puerto Rico,80.01
38,Camuy Municipio, Puerto Rico,79
39,GuÃ¡nica Municipio, Puerto Rico,79
40,Hormigueros Municipio, Puerto Rico,80.01
41,ManatÃ­ Municipio, Puerto Rico,80.6
42,Naguabo Municipio, Puerto Rico,80.6
43,Naranjito Municipio, Puerto Rico,80.6
44,San GermÃ¡n Municipio, Puerto Rico,80.01
45,Utuado Municipio, Puerto Rico,80.6
46,Arecibo Municipio, Puerto Rico,80.6
47,Arroyo Municipio, Puerto Rico,80.6
48,CataÃ±o Municipio, Puerto Rico,80.6
49,Florida Municipio, Puerto Rico,80.6
50,Hatillo Municipio, Puerto Rico,79
51,Humacao Municipio, Puerto Rico,80.6
52,Juana DÃ­az Municipio, Puerto Rico,80.6
53,Morovis Municipio, Puerto Rico,80.6
54,MayagÃ¼ez Municipio, Puerto Rico,79
55,Santa Isabel Municipio, Puerto Rico,80.6
56,Trujillo Alto Municipio, Puerto Rico,80.6
57,Guayama Municipio, Puerto Rico,80.6
58,Moca Municipio, Puerto Rico,79
59,Culebra Municipio, Puerto Rico,79
60,Gurabo Municipio, Puerto Rico,80.6
61,Salinas Municipio, Puerto Rico,80.6
62,Barceloneta Municipio, Puerto Rico,80.6
63,LoÃ­za Municipio, Puerto Rico,80.6
64,Yauco Municipio, Puerto Rico,79
65,Guaynabo Municipio, Puerto Rico,80.6
66,Aguadilla Municipio, Puerto Rico,80.01
67,Cabo Rojo Municipio, Puerto Rico,79
68,Fajardo Municipio, Puerto Rico,80.6
69,Las MarÃ­as Municipio, Puerto Rico,79
70,Patillas Municipio, Puerto Rico,80.6
71,RincÃ³n Municipio, Puerto Rico,79
72,Aguas Buenas Municipio, Puerto Rico,80.6
73,BayamÃ³n Municipio, Puerto Rico,80.6
74,Carolina Municipio, Puerto Rico,80.6
75,Cayey Municipio, Puerto Rico,80.6
76,Monroe County, Alabama,37.99
77,Lawrence County, Alabama,48
78,Lee County, Alabama,84.99
79,Marion County, Alabama,48
80,Pickens County, Alabama,50
81,Sumter County, Alabama,84.2
82,Jefferson County, Alabama,52
83,Choctaw County, Alabama,77
84,Franklin County, Alabama,51.01
85,Marengo County, Alabama,75.99
86,Russell County, Alabama,75.99
87,Cherokee County, Alabama,75.2
88,Covington County, Alabama,77
89,Crenshaw County, Alabama,77
90,Dallas County, Alabama,79
91,Lauderdale County, Alabama,70
92,Lowndes County, Alabama,80.6
93,Macon County, Alabama,60.8
94,Limestone County, Alabama,68
95,Shelby County, Alabama,63
96,St. Clair County, Alabama,36
97,Winston County, Alabama,70
98,Baldwin County, Alabama,73
99,Cullman County, Alabama,70
100,Elmore County, Alabama,80.01
101,Houston County, Alabama,78.01
102,Jackson County, Alabama,51.01
103,Talladega County, Alabama,75.2
104,Tuscaloosa County, Alabama,75.2
105,Washington County, Alabama,50
106,Clay County, Alabama,82.4
107,Coffee County, Alabama,64.4
108,Morgan County, Alabama,44.01
109,Pike County, Alabama,48.2
110,Chilton County, Alabama,75.2
111,Colbert County, Alabama,70
112,Coosa County, Alabama,78.8
113,Dale County, Alabama,78.01
114,Hale County, Alabama,69.8
115,Etowah County, Alabama,75.2
116,DeKalb County, Alabama,77
117,Escambia County, Alabama,73
118,Lamar County, Alabama,77
119,Randolph County, Alabama,48
120,Butler County, Alabama,46.99
121,Mobile County, Alabama,73
122,Conecuh County, Alabama,79
123,Perry County, Alabama,45
124,Walker County, Alabama,82.99
125,Cleburne County, Alabama,75.2
126,Greene County, Alabama,46.4
127,Barbour County, Alabama,78.01
128,Bibb County, Alabama,75.2
129,Bullock County, Alabama,78.8
130,Calhoun County, Alabama,39.2
131,Chambers County, Alabama,82.4
132,Clarke County, Alabama,75
133,Fayette County, Alabama,77
134,Montgomery County, Alabama,42.01
135,Marshall County, Alabama,70
136,Blount County, Alabama,66
137,Henry County, Alabama,77
138,Madison County, Alabama,66.99
139,Autauga County, Alabama,80.01
140,Tallapoosa County, Alabama,77
141,Geneva County, Alabama,79
142,Wilcox County, Alabama,79
143,Kodiak Island Borough, Alaska,37.4
144,Denali Borough, Alaska,33.8
145,Valdez-Cordova Census Area, Alaska,22.31
146,Kenai Peninsula Borough, Alaska,39
147,Aleutians West Census Area, Alaska,37.7
148,Bristol Bay Borough, Alaska,37.4
149,Northwest Arctic Borough, Alaska,28.4
150,Bethel Census Area, Alaska,39.2
151,North Slope Borough, Alaska,14.08
152,Sitka City and Borough, Alaska,44.6
153,Fairbanks North Star Borough, Alaska,41
154,Ketchikan Gateway Borough, Alaska,44.6
155,Matanuska-Susitna Borough, Alaska,39.99
156,Yakutat City and Borough, Alaska,39.2
157,Nome Census Area, Alaska,33.01
158,Dillingham Census Area, Alaska,33.8
159,Haines Borough, Alaska,39.2
160,Juneau City and Borough, Alaska,42.8
161,Lake and Peninsula Borough, Alaska,37.4
162,Southeast Fairbanks Census Area, Alaska,21.28
163,Yukon-Koyukuk Census Area, Alaska,24.8
164,Anchorage Municipality, Alaska,39.99
165,Aleutians East Borough, Alaska,39.2
166,Prince of Wales-Hyder Census Area, Alaska,44.6
167,Wrangell City and Borough, Alaska,37.99
168,Hoonah-Angoon Census Area, Alaska,42.8
169,Skagway Municipality, Alaska,39.2
170,Petersburg Borough, Alaska,41
171,Kusilvak Census Area, Alaska,33.8
172,Pima County, Arizona,64.99
173,Maricopa County, Arizona,68
174,Gila County, Arizona,64
175,Graham County, Arizona,60.8
176,Santa Cruz County, Arizona,55
177,Cochise County, Arizona,63
178,La Paz County, Arizona,66
179,Mohave County, Arizona,55.4
180,Apache County, Arizona,46.4
181,Coconino County, Arizona,46.99
182,Yavapai County, Arizona,57
183,Yuma County, Arizona,64
184,Greenlee County, Arizona,61
185,Navajo County, Arizona,55.4
186,Pinal County, Arizona,66
187,White County, Arkansas,59
188,Nevada County, Arkansas,54
189,St. Francis County, Arkansas,64.99
190,Pulaski County, Arkansas,75.99
191,Clay County, Arkansas,82.4
192,Cross County, Arkansas,48.2
193,Dallas County, Arkansas,79
194,Drew County, Arkansas,64.4
195,Columbia County, Arkansas,78.8
196,Randolph County, Arkansas,48
197,Saline County, Arkansas,75.99
198,Van Buren County, Arkansas,39.2
199,Boone County, Arkansas,46.99
200,Izard County, Arkansas,73.4
201,Independence County, Arkansas,73.4
202,Lincoln County, Arkansas,48.2
203,Logan County, Arkansas,46
204,Grant County, Arkansas,37.4
205,Crittenden County, Arkansas,64
206,Franklin County, Arkansas,51.01
207,Faulkner County, Arkansas,75.99
208,Pike County, Arkansas,48.2
209,Jefferson County, Arkansas,52
210,Marion County, Arkansas,48
211,Montgomery County, Arkansas,42.01
212,Scott County, Arkansas,36
213,Searcy County, Arkansas,73.4
214,Sebastian County, Arkansas,75.99
215,Crawford County, Arkansas,48
216,Benton County, Arkansas,37.99
217,Chicot County, Arkansas,66.2
218,Hot Spring County, Arkansas,75.99
219,Johnson County, Arkansas,44.6
220,Lee County, Arkansas,84.99
221,Madison County, Arkansas,66.99
222,Desha County, Arkansas,71.6
223,Fulton County, Arkansas,77
224,Howard County, Arkansas,41
225,Garland County, Arkansas,75.99
226,Mississippi County, Arkansas,68
227,Pope County, Arkansas,75.2
228,Prairie County, Arkansas,73.4
229,Union County, Arkansas,51.01
230,Woodruff County, Arkansas,73.4
231,Cleburne County, Arkansas,75.2
232,Cleveland County, Arkansas,46.4
233,Jackson County, Arkansas,51.01
234,Hempstead County, Arkansas,78.01
235,Sharp County, Arkansas,73
236,Stone County, Arkansas,68
237,Washington County, Arkansas,50
238,Greene County, Arkansas,46.4
239,Baxter County, Arkansas,73.4
240,Ashley County, Arkansas,66.2
241,Craighead County, Arkansas,68
242,Lafayette County, Arkansas,55.99
243,Perry County, Arkansas,45
244,Yell County, Arkansas,75.2
245,Phillips County, Arkansas,66.2
246,Poinsett County, Arkansas,66.2
247,Sevier County, Arkansas,64.99
248,Calhoun County, Arkansas,39.2
249,Clark County, Arkansas,60.01
250,Bradley County, Arkansas,66
251,Lawrence County, Arkansas,48
252,Monroe County, Arkansas,37.99
253,Polk County, Arkansas,84.2
254,Conway County, Arkansas,75.99
255,Ouachita County, Arkansas,78.8
256,Newton County, Arkansas,75.2
257,Arkansas County, Arkansas,71.6
258,Little River County, Arkansas,75.99
259,Lonoke County, Arkansas,75.99
260,Carroll County, Arkansas,41
261,Miller County, Arkansas,78.01
262,Modoc County, California,33.8
263,Merced County, California,57.2
264,Lake County, California,39.2
265,Mariposa County, California,57.2
266,Yuba County, California,54
267,Contra Costa County, California,57
268,Inyo County, California,44.23
269,Lassen County, California,39.2
270,Stanislaus County, California,57
271,Santa Barbara County, California,60.8
272,Sonoma County, California,53.01
273,Tehama County, California,46.4
274,Imperial County, California,66.2
275,Mono County, California,55.4
276,San Benito County, California,55.99
277,Alameda County, California,55.4
278,Sacramento County, California,55
279,El Dorado County, California,52
280,Napa County, California,57
281,San Diego County, California,60.8
282,Monterey County, California,54
283,San Francisco County, California,55.99
