,County,State,lat,lng
0,Corozal Municipio, Puerto Rico,18.34,-66.32
1,Maunabo Municipio, Puerto Rico,18.01,-65.9
2,PeÃ±uelas Municipio, Puerto Rico,18.06,-66.73
3,Ponce Municipio, Puerto Rico,18.01,-66.61
4,San SebastiÃ¡n Municipio, Puerto Rico,18.34,-66.99
5,Toa Alta Municipio, Puerto Rico,18.39,-66.25
6,Toa Baja Municipio, Puerto Rico,18.39,-66.25
7,Vieques Municipio, Puerto Rico,18.15,-65.44
8,Yabucoa Municipio, Puerto Rico,18.05,-65.88
9,Aguada Municipio, Puerto Rico,18.38,-67.19
10,Caguas Municipio, Puerto Rico,18.24,-66.04
11,CanÃ³vanas Municipio, Puerto Rico,18.37,-65.9
12,Cidra Municipio, Puerto Rico,18.18,-66.16
13,Coamo Municipio, Puerto Rico,18.08,-66.36
14,Dorado Municipio, Puerto Rico,18.46,-66.27
15,Luquillo Municipio, Puerto Rico,18.37,-65.72
16,Barranquitas Municipio, Puerto Rico,18.19,-66.31
17,Orocovis Municipio, Puerto Rico,18.23,-66.39
18,San Lorenzo Municipio, Puerto Rico,18.19,-65.96
19,AÃ±asco Municipio, Puerto Rico,18.29,-67.14
20,Ceiba Municipio, Puerto Rico,18.26,-65.65
21,Ciales Municipio, Puerto Rico,18.34,-66.47
22,ComerÃ­o Municipio, Puerto Rico,18.22,-66.23
23,Isabela Municipio, Puerto Rico,18.47,-67.02
24,Jayuya Municipio, Puerto Rico,18.22,-66.59
25,Lares Municipio, Puerto Rico,18.29,-66.88
26,Las Piedras Municipio, Puerto Rico,18.18,-65.87
27,RÃ­o Grande Municipio, Puerto Rico,-53.79,-67.7
28,San Juan Municipio, Puerto Rico,18.47,-66.11
29,Vega Alta Municipio, Puerto Rico,18.41,-66.33
30,Vega Baja Municipio, Puerto Rico,18.44,-66.39
31,Maricao Municipio, Puerto Rico,18.18,-66.98
32,Aibonito Municipio, Puerto Rico,18.14,-66.27
33,Guayanilla Municipio, Puerto Rico,18.02,-66.79
34,Juncos Municipio, Puerto Rico,18.23,-65.92
35,Lajas Municipio, Puerto Rico,18.05,-67.06
36,Sabana Grande Municipio, Puerto Rico,18.08,-66.96
37,Adjuntas Municipio, Puerto Rico,18.16,-66.72
38,Camuy Municipio, Puerto Rico,18.45,-66.85
39,GuÃ¡nica Municipio, Puerto Rico,17.97,-66.91
40,Hormigueros Municipio, Puerto Rico,18.14,-67.13
41,ManatÃ­ Municipio, Puerto Rico,18.43,-66.48
42,Naguabo Municipio, Puerto Rico,18.21,-65.73
43,Naranjito Municipio, Puerto Rico,18.3,-66.24
44,San GermÃ¡n Municipio, Puerto Rico,18.08,-67.04
45,Utuado Municipio, Puerto Rico,18.27,-66.7
46,Arecibo Municipio, Puerto Rico,18.46,-66.74
47,Arroyo Municipio, Puerto Rico,17.97,-66.06
48,CataÃ±o Municipio, Puerto Rico,18.45,-66.14
49,Florida Municipio, Puerto Rico,18.36,-66.56
50,Hatillo Municipio, Puerto Rico,18.49,-66.83
51,Humacao Municipio, Puerto Rico,18.16,-65.82
52,Juana DÃ­az Municipio, Puerto Rico,18.05,-66.51
53,Morovis Municipio, Puerto Rico,18.33,-66.41
54,MayagÃ¼ez Municipio, Puerto Rico,18.2,-67.15
55,Santa Isabel Municipio, Puerto Rico,17.97,-66.4
56,Trujillo Alto Municipio, Puerto Rico,18.35,-66.01
57,Guayama Municipio, Puerto Rico,17.98,-66.11
58,Moca Municipio, Puerto Rico,18.39,-67.11
59,Culebra Municipio, Puerto Rico,18.31,-65.3
60,Gurabo Municipio, Puerto Rico,18.25,-65.97
61,Salinas Municipio, Puerto Rico,18.0,-66.26
62,Barceloneta Municipio, Puerto Rico,18.45,-66.54
63,LoÃ­za Municipio, Puerto Rico,18.43,-65.88
64,Yauco Municipio, Puerto Rico,18.03,-66.85
65,Guaynabo Municipio, Puerto Rico,18.36,-66.11
66,Aguadilla Municipio, Puerto Rico,18.43,-67.15
67,Cabo Rojo Municipio, Puerto Rico,18.09,-67.15
68,Fajardo Municipio, Puerto Rico,18.33,-65.65
69,Las MarÃ­as Municipio, Puerto Rico,18.25,-66.99
70,Patillas Municipio, Puerto Rico,18.01,-66.02
71,RincÃ³n Municipio, Puerto Rico,18.34,-67.25
72,Aguas Buenas Municipio, Puerto Rico,18.26,-66.1
73,BayamÃ³n Municipio, Puerto Rico,18.39,-66.17
74,Carolina Municipio, Puerto Rico,18.38,-65.96
75,Cayey Municipio, Puerto Rico,18.11,-66.17
76,Monroe County, Alabama,43.28,-77.75
77,Lawrence County, Alabama,40.96,-80.37
78,Lee County, Alabama,26.66,-81.95
79,Marion County, Alabama,44.84,-122.59
80,Pickens County, Alabama,34.9,-82.65
81,Sumter County, Alabama,28.67,-82.08
82,Jefferson County, Alabama,39.58,-105.27
83,Choctaw County, Alabama,33.99,-95.52
84,Franklin County, Alabama,40.02,-82.99
85,Marengo County, Alabama,32.25,-87.78
86,Russell County, Alabama,32.36,-85.19
87,Cherokee County, Alabama,34.25,-84.48
88,Covington County, Alabama,31.31,-86.5
89,Crenshaw County, Alabama,31.67,-86.34
90,Dallas County, Alabama,32.8,-96.84
91,Lauderdale County, Alabama,34.88,-87.66
92,Lowndes County, Alabama,30.86,-83.29
93,Macon County, Alabama,35.12,-83.34
94,Limestone County, Alabama,34.78,-86.94
95,Shelby County, Alabama,35.13,-89.93
96,St. Clair County, Alabama,43.02,-82.65
97,Winston County, Alabama,34.17,-87.34
98,Baldwin County, Alabama,30.6,-87.78
99,Cullman County, Alabama,34.2,-86.82
100,Elmore County, Alabama,32.56,-86.01
101,Houston County, Alabama,32.42,-83.63
102,Jackson County, Alabama,38.99,-94.32
103,Talladega County, Alabama,33.42,-86.13
104,Tuscaloosa County, Alabama,33.32,-87.46
105,Washington County, Alabama,45.55,-123.14
106,Clay County, Alabama,29.99,-81.78
107,Coffee County, Alabama,35.46,-86.05
108,Morgan County, Alabama,41.06,-111.62
109,Pike County, Alabama,41.34,-75.06
110,Chilton County, Alabama,32.94,-86.66
111,Colbert County, Alabama,34.71,-87.89
112,Coosa County, Alabama,32.89,-86.22
113,Dale County, Alabama,31.46,-85.68
114,Hale County, Alabama,34.11,-101.89
115,Etowah County, Alabama,34.05,-86.05
116,DeKalb County, Alabama,33.8,-84.23
117,Escambia County, Alabama,30.64,-87.34
118,Lamar County, Alabama,33.76,-95.65
119,Randolph County, Alabama,35.74,-79.83
120,Butler County, Alabama,39.44,-84.52
121,Mobile County, Alabama,30.61,-88.25
122,Conecuh County, Alabama,31.5,-86.98
123,Perry County, Alabama,40.37,-77.24
124,Walker County, Alabama,30.68,-95.65
125,Cleburne County, Alabama,35.46,-92.07
126,Greene County, Alabama,39.7,-83.89
127,Barbour County, Alabama,31.82,-85.35
128,Bibb County, Alabama,32.79,-83.72
129,Bullock County, Alabama,32.06,-85.73
130,Calhoun County, Alabama,42.21,-85.02
131,Chambers County, Alabama,29.75,-94.69
