,County,State,Price_2018
0,Los Angeles County,California,595599.9999480329
1,Cook County,Illinois,216799.99996116434
2,Harris County,Texas,178300.00000555423
3,Maricopa County,Arizona,253099.99997189845
4,San Diego County,California,572099.999972817
5,Orange County,California,701599.9999605387
6,Kings County,New York,761799.999877088
7,Miami-Dade County,Florida,284199.99990996753
8,Dallas County,Texas,186199.99995331888
9,Queens County,New York,608000.0000301036
10,Riverside County,California,362700.00014593673
11,San Bernardino County,California,327699.99998129584
12,Clark County,Nevada,249799.99999856178
13,King County,Washington,617599.9998409784
14,Wayne County,Michigan,67199.99999203555
15,Tarrant County,Texas,192999.99992677753
16,Santa Clara County,California,1185700.0005094798
17,Broward County,Florida,244200.0000396249
18,Bexar County,Texas,169499.99994808363
19,New York County,New York,1302200.0001626564
20,Philadelphia County,Pennsylvania,141900.0000247129
21,Alameda County,California,838300.0004042475
22,Middlesex County,Massachusetts,519099.999936481
23,Suffolk County,New York,378700.00016644475
24,Sacramento County,California,353099.999908016
25,Bronx County,New York,384200.0001535742
26,Nassau County,New York,503999.99995532417
27,Palm Beach County,Florida,260000.00003751804
28,Cuyahoga County,Ohio,122700.0000147202
29,Hillsborough County,Florida,206199.99997240724
30,Allegheny County,Pennsylvania,143299.99999614735
31,Oakland County,Michigan,233399.99998940813
32,Franklin County,Ohio,167200.00002933995
33,Hennepin County,Minnesota,266499.99994987756
34,Orange County,Florida,227099.99990023035
35,Fairfax County,Virginia,528399.9997660178
36,Contra Costa County,California,592600.0001806128
37,Salt Lake County,Utah,328699.99986354157
38,Travis County,Texas,322199.9999586923
39,Saint Louis County,Missouri,178300.00004346183
40,Pima County,Arizona,191500.00005059197
41,Montgomery County,Maryland,437400.0001629966
42,Honolulu County,Hawaii,666900.0001449026
43,Westchester County,New York,601699.9998365741
44,Milwaukee County,Wisconsin,151399.9999759987
45,Fresno County,California,235299.99998056464
46,Shelby County,Tennessee,120100.00003475856
47,Fulton County,Georgia,254699.99989165878
48,Mecklenburg County,North Carolina,221299.99999768514
49,Erie County,New York,155699.9999354834
50,DuPage County,Illinois,282700.00009580766
51,Fairfield County,Connecticut,330999.99993708346
52,Pinellas County,Florida,210099.99994169475
53,Bergen County,New Jersey,458399.9998555726
54,Marion County,Indiana,123699.99994971402
55,Wake County,North Carolina,273199.99989094643
56,Hartford County,Connecticut,225000.0000494941
57,Duval County,Florida,167100.0000636308
